antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[sex(1), thal([2, 3]), thalach([71, 202]), slope([0, 1])]","[cp(1), chol([126, 564])]",0.04585806641198942,0.0224390243902439,0.06927710843373494,0.42520380924897194,0.32390243902439025,0.1629268292682927,0.8993795879706367,0.5277777777777779,0.42857142857142855,0.009540949774082706,0.5645750340535797,-0.13851509935847284,-0.5579013707263274
"[slope([0, 2]), thalach([116, 190]), oldpeak([1.0885513356918293, 3.749327334584979]), thal([2, 3])]","[cp([2, 3]), chol([158, 358]), ca([2, 4])]",0.04547880176788345,0.02048780487804878,0.07046979865771812,1.6051454138702463,0.29073170731707315,0.04390243902439024,1.028581491591089,0.4832384876296575,0.5,0.03288524871341364,0.6666666666666667,0.03745741901535224,0.3790107888468544
"[fbs([0, 1])]","[thal(2), target(0), ca([1, 2]), sex(1), oldpeak([0.0, 6.032203605857523]), thalach([71, 162])]",0.0448780487804878,0.0448780487804878,0.0448780487804878,1.0,1.0,0.0448780487804878,0.9999999999999998,0.5832010637127845,0.5,0.044876083864134296,0.9357849740192015,0.0,0.0
"[trestbps([137, 190]), slope(1)]","[thal(1), cp([0, 2]), exang([0, 1]), fbs(0)]",0.04457675753228121,0.012682926829268294,0.07647058823529412,1.8662464985994398,0.16585365853658537,0.04097560975609756,1.03843405313034,0.638888888888889,0.42857142857142855,0.023669174910892377,0.8270874753469162,0.042552459580323346,0.40448629913020734
"[sex([0, 1]), exang([0, 1])]","[target([0, 1]), thal(3), age([37, 53]), oldpeak([1.2655986400933468, 5.793592182542983])]",0.04390243902439024,0.04390243902439024,0.04390243902439024,1.0,1.0,0.04390243902439024,0.9999999999999998,0.3227241879269811,0.42857142857142855,0.043900558610583125,0.8270874753469162,0.0,0.0
"[ca([3, 4])]","[slope(2), chol([303, 424])]",0.04364451920381273,0.006829268292682927,0.08045977011494253,1.145434227330779,0.08487804878048781,0.0702439024390244,1.0111097560975606,0.8245814307458144,0.21428571428571427,0.007822425531235968,0.7924812503605781,0.011163394848417997,0.08054106621872513
"[cp([2, 3]), thal([0, 3]), fbs([0, 1]), restecg([0, 1])]","[exang([0, 1]), slope(2), target(0)]",0.043342417223054916,0.0224390243902439,0.06424581005586592,0.5104802736997098,0.3492682926829268,0.12585365853658537,0.934162358937022,0.45238095238095244,0.5,0.011454428549526687,0.6666666666666667,-0.09467472967426899,-0.4669613533555037
"[ca([1, 2]), sex([0, 1])]","[thalach([150, 153]), fbs(0), target([0, 1]), thal([2, 3])]",0.04316395663956639,0.0224390243902439,0.06388888888888888,1.148879142300195,0.35121951219512193,0.055609756097560976,1.0088441774625458,0.5656276505513147,0.42857142857142855,0.025779162732662838,0.8270874753469162,0.0127610693400167,0.11763120403527011
"[slope(1), thalach([161, 175]), cp([1, 2])]","[thal([1, 2]), sex([0, 1]), target([0, 1]), chol([168, 564]), fbs(1)]",0.042003955174686886,0.002926829268292683,0.08108108108108109,1.0013025073266038,0.03609756097560975,0.08097560975609756,1.0001147776183643,0.5402941894105755,0.5714285714285714,0.0029306331165780864,0.8154648767857287,0.00010942116205274158,0.0007347538574577516
"[restecg([0, 1]), thalach([134, 162]), target(1)]","[thal([2, 3]), fbs(1), slope([1, 2]), age([56, 69])]",0.0409493601662474,0.014634146341463415,0.06726457399103139,1.0139145344236349,0.2175609756097561,0.06634146341463415,1.0009896810506562,0.7402989821882953,0.5,0.014837561832393355,0.7739760316291208,0.001179785961106204,0.009479311739071836
"[oldpeak([0.0, 3.8688200761936615]), thalach([140, 202]), exang(0)]","[chol([131, 185]), cp([0, 3]), restecg([1, 2])]",0.04089910899108991,0.02829268292682927,0.05350553505535055,0.9621609373988477,0.5287804878048781,0.055609756097560976,0.9977768268910757,0.5465711079872133,0.42857142857142855,0.02722136292479741,0.7124143742160444,-0.004465479437403074,-0.04241808483616967
"[sex(1), thalach([120, 133]), exang([0, 1])]","[thal([2, 3]), trestbps([132, 135]), fbs([0, 1]), age([32, 71])]",0.04026607538802661,0.007804878048780488,0.07272727272727272,1.2852664576802508,0.1073170731707317,0.05658536585365854,1.01740793878527,0.5323754483789771,0.5,0.010031271578531214,0.7739760316291208,0.01808246398410332,0.15141430948419302
"[restecg([1, 2]), exang([0, 1])]","[target(1), thal(3), age([40, 53])]",0.04017368810051737,0.027317073170731707,0.05303030303030303,1.7534213098729228,0.5151219512195122,0.03024390243902439,1.02406243902439,0.6458333333333333,0.35714285714285715,0.04789706169173844,0.7737056144690831,0.04699408572648007,0.8043308113749021
"[age([41, 56]), exang([0, 1])]","[fbs([0, 1]), slope([1, 2]), thal([0, 1])]",0.03993659559237102,0.025365853658536587,0.05450733752620545,0.9311670160726764,0.4653658536585366,0.05853658536585366,0.9957384673625004,0.37083333333333324,0.35714285714285715,0.023619261736903305,0.7737056144690831,-0.0075364580942325066,-0.06864589866889678
"[age([56, 77]), exang([0, 1]), ca([3, 4]), thal([1, 3]), fbs([0, 1]), sex(1)]","[thalach([160, 202])]",0.039924953095684806,0.002926829268292683,0.07692307692307693,0.20011714174150722,0.03804878048780488,0.38439024390243903,0.6669105691056908,0.47503180661577615,0.5,0.0005857070350781793,0.33333333333333337,-0.31962864721485407,-0.77491961414791
"[trestbps([116, 199]), age([36, 43])]","[cp([2, 3]), exang(1)]",0.0398729674796748,0.006829268292682927,0.07291666666666667,1.4947916666666667,0.09365853658536585,0.04878048780487805,1.0260345300082212,0.6844536163522013,0.2857142857142857,0.01020826531826294,0.6826061944859854,0.026630337280229628,0.23681324159936185
"[sex(1), exang(1)]","[thal(3), slope([1, 2]), cp([1, 2])]",0.0396579965799658,0.016585365853658537,0.06273062730627306,0.6429889298892989,0.26439024390243904,0.0975609756097561,0.9628384866525829,0.8333333333333334,0.35714285714285715,0.010664034086194521,0.7737056144690831,-0.0473489482905439,-0.2977930992028071
[restecg(0)],"[oldpeak([3.2809705622380365, 6.195788097721677])]",0.03883986847916769,0.025365853658536587,0.052313883299798795,0.9245125927981684,0.4848780487804878,0.05658536585365854,0.9954927243539948,0.7649340697190612,0.14285714285714285,0.0234504707871426,0.6309297535714574,-0.008292177306261798,-0.07780320366132723
"[sex(1), oldpeak([1.4546577086845094, 4.781293864792512])]","[thal([0, 2]), exang([0, 1]), chol([312, 513])]",0.03869782630880702,0.014634146341463415,0.06276150627615062,1.037589418275071,0.23317073170731709,0.06048780487804878,1.002425958188153,0.4675750010034391,0.35714285714285715,0.0151840186007837,0.7737056144690831,0.002965068617117549,0.025771526396150466
"[thal([1, 2]), exang([0, 1]), ca([1, 3]), oldpeak([0.0, 5.014676213547933])]","[age([44, 77]), fbs([0, 1]), target(1), slope(1)]",0.038519681236416324,0.012682926829268294,0.06435643564356436,0.4886321965529886,0.19707317073170733,0.13170731707317074,0.9280165182604205,0.458793490318254,0.5714285714285714,0.006197209712642888,0.7324867603589634,-0.08388171745485602,-0.433464921824003
"[sex([0, 1]), exang([0, 1]), thal([2, 3])]","[target(1), trestbps([130, 173]), cp([0, 3]), thalach([166, 172])]",0.03845272792350565,0.037073170731707315,0.039832285115303984,1.0744234800838575,0.9307317073170732,0.037073170731707315,1.0028735754606453,0.45931496608437417,0.5,0.03983084442349256,0.7739760316291208,0.03983228511530385,1.0
"[cp(1), slope(1), thal([0, 3])]",[exang(1)],0.03804878048780488,0.002926829268292683,0.07317073170731707,0.21739130434782605,0.04,0.33658536585365856,0.7157894736842102,0.75,0.2857142857142857,0.0006362654154126054,0.43067655807339306,-0.274390243902439,-0.7418576598311218
